"Date","Price","Open","High","Low","Change %"
"Oct 15, 2015","61.3889","62.6939","62.6939","61.3889","-2.08"
"Oct 14, 2015","62.6939","63.0786","63.2790","62.5463","-0.61"
"Oct 13, 2015","63.0786","62.2730","63.1833","62.0512","1.29"
"Oct 12, 2015","62.2730","61.8110","62.5273","60.9255","0.75"
"Oct 09, 2015","61.8110","61.3690","61.8165","60.8451","0.72"
"Oct 08, 2015","61.3690","62.6657","62.6713","61.3145","-2.07"
"Oct 07, 2015","62.6657","63.3639","63.3639","61.8904","-1.10"
"Oct 06, 2015","63.3639","64.7771","65.2542","63.3639","-2.18"
"Oct 05, 2015","64.7771","66.0066","66.0066","64.5550","-1.86"
"Oct 02, 2015","66.0066","65.6968","66.6476","65.6535","0.47"
"Oct 01, 2015","65.6968","65.4532","65.8045","64.8280","0.37"
"Sep 30, 2015","65.4532","65.7278","65.9895","65.2533","-0.42"
"Sep 29, 2015","65.7278","66.0784","66.3158","65.4347","-0.53"
"Sep 28, 2015","66.0784","65.5164","66.1702","65.3652","0.86"
"Sep 25, 2015","65.5164","66.0912","66.0912","65.4010","-0.87"
"Sep 24, 2015","66.0912","66.4069","66.7636","66.0418","-0.48"
"Sep 23, 2015","66.4069","66.0189","66.4988","65.5043","0.59"
"Sep 22, 2015","66.0189","66.0149","66.7213","66.0002","0.01"
"Sep 21, 2015","66.0149","66.5011","66.5011","65.6858","-0.73"
"Sep 18, 2015","66.5011","65.4154","66.6100","65.3367","1.66"
"Sep 17, 2015","65.4154","65.3293","66.2119","64.9179","0.13"
"Sep 16, 2015","65.3293","66.7050","66.7050","64.9341","-2.06"
"Sep 15, 2015","66.7050","67.4673","67.6323","66.5468","-1.13"
"Sep 14, 2015","67.4673","67.9536","68.0710","67.1828","-0.72"
"Sep 11, 2015","67.9536","67.7313","68.2592","67.5586","0.33"
"Sep 10, 2015","67.7313","68.4810","68.8570","67.4669","-1.09"
"Sep 09, 2015","68.4810","67.9836","68.5568","67.3712","0.73"
"Sep 08, 2015","67.9836","69.0980","69.0980","67.7114","-1.61"
"Sep 07, 2015","69.0980","68.5238","69.2889","68.1690","0.90"
